picture_ID;well;stage_00;stage_01;stage_02;stage_03;correctly_predicted_00;correctly_predicted_01;correctly_predicted_02;correctly_predicted_03
plate_505/well_I03/position_0.npy_550_650;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_0.npy_850_650;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_0.npy_1150_650;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_0.npy_1450_650;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_0.npy_1750_650;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_0.npy_2050_650;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_0.npy_550_950;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_0.npy_850_950;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_0.npy_1150_950;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_0.npy_1450_950;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_0.npy_1750_950;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_0.npy_2050_950;I03;training;validation;training;training;0;0;0;1
plate_505/well_I03/position_0.npy_550_1250;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_0.npy_850_1250;I03;training;validation;training;training;0;0;0;1
plate_505/well_I03/position_0.npy_1150_1250;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_0.npy_1450_1250;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_0.npy_1750_1250;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_0.npy_2050_1250;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_0.npy_550_1550;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_0.npy_850_1550;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_0.npy_1150_1550;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_0.npy_1450_1550;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_0.npy_1750_1550;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_0.npy_2050_1550;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_0.npy_550_1850;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_0.npy_850_1850;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_0.npy_1150_1850;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_0.npy_1450_1850;I03;training;validation;training;training;0;0;0;1
plate_505/well_I03/position_0.npy_1750_1850;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_0.npy_2050_1850;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_1.npy_0_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_300_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_600_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_900_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_1200_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_1500_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_1800_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_2100_600;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_0_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_300_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_600_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_900_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_1200_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_1500_900;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_1800_900;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_1.npy_2100_900;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_1.npy_0_1200;I03;training;validation;training;training;1;0;0;0
plate_505/well_I03/position_1.npy_300_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_600_1200;I03;training;validation;training;training;0;0;0;0
plate_505/well_I03/position_1.npy_900_1200;I03;training;validation;training;training;0;0;0;0
